집계년도,시군명,전체기관명,대표전화번호,관할구역명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2022,가평군,경기도 가평소방서,031-580-0212,가평군 일원,12419,경기도 가평군 가평읍 대곡리 213-5번지,경기도 가평군 가평읍 가화로 36,37.82353605,127.5166586
2022,고양시,경기도 일산소방서,031-930-0212,고양시 일산동구 및 서구 일원,10401,경기도 고양시 일산동구 장항동 779번지,경기도 고양시 일산동구 중앙로 1325,37.66318166,126.7695478
2022,고양시,경기도 고양소방서,031-931-0212,고양시 덕양구 일원,10455,경기도 고양시 덕양구 성사동 740번지,경기도 고양시 덕양구 고양대로 1342,37.65493827,126.8330908
2022,과천시,경기도 과천소방서,02-331-4212,과천시 일원,13807,경기도 과천시 중앙동 40번지,경기도 과천시 통영로 12,37.42847065,126.9904202
2022,광명시,경기도 광명소방서,02-2610-3213,광명시 일원,14316,경기도 광명시 소하동 1336번지,경기도 광명시 금하로 472,37.44845991,126.8850913
2022,광주시,경기도 광주소방서,031-799-2212,광주시 일원,12735,경기도 광주시 초월읍 대쌍령리 450-7번지,경기도 광주시 초월읍 무들로 112,37.38539175,127.2994433
2022,구리시,경기도 구리소방서,031-570-6214,구리시 일원,11952,경기도 구리시 교문동 354-6번지,경기도 구리시 아차산로487번길 46,37.59822409,127.1277365
2022,군포시,경기도 군포소방서,031-479-8212,군포시 일원,15870,경기도 군포시 산본동 1156번지,경기도 군포시 고산로 429,37.35239277,126.9270923
2022,김포시,경기도 김포소방서,031-980-4212,김포시 일원,10092,경기도 김포시 걸포동 1550-18번지,경기도 김포시 감암로 111,37.64149404,126.7085233
2022,남양주시,경기도 남양주소방서,031-590-0212,남양주시 일원,12224,경기도 남양주시 평내동 570번지,경기도 남양주시 평내로 25,37.64319727,127.2321086
2022,동두천시,경기도 동두천소방서,031-830-5212,동두천시 일원,11349,경기도 동두천시 지행동 717번지,경기도 동두천시 지행로 6,37.89199309,127.047651
2022,부천시,경기도 부천소방서,031-650-4214,부천시,14612,경기도 부천시 중동 1218번지,경기도 부천시 신흥로 115,37.49362442,126.7778222
2022,성남시,경기도 분당소방서,031-8018-3212,성남시 분당구 일원,13590,경기도 성남시 분당구 서현동 278번지,경기도 성남시 분당구 양현로 14,37.43655335,127.1333995
2022,성남시,경기도 성남소방서,031-720-0212,"성남시 수정구, 중원구 일원",13409,경기도 성남시 중원구 하대원동 2번지,경기도 성남시 중원구 마지로 64,37.427889,127.137288
